fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-19T22:20:50Z,70:ee:50:b5:10:18,44.708653,-73.020244,2.2,52,1015.9,,,,,,
2026-02-19T22:20:50Z,70:ee:50:84:7f:00,44.83374,-72.59283,18.8,22,1013,,,,,,
2026-02-19T22:20:50Z,70:ee:50:13:6c:30,44.939432,-72.626538,1.1,61,1008.5,,,,,,
2026-02-19T22:20:50Z,70:ee:50:13:84:08,44.974119,-72.651164,0.6,66,1017.7,,,,,,
2026-02-19T22:20:50Z,70:ee:50:71:3b:a2,45.022137,-72.79827,0.1,63,1013.6,0,0,2,90,6,58
2026-02-19T22:20:50Z,70:ee:50:12:5b:38,45.032926,-73.027474,-0.3,63,1016,,,,,,
2026-02-19T22:20:50Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,1.7,63,1015.3,,,,,,
2026-02-19T22:20:50Z,70:ee:50:71:52:d4,44.300539,-72.58766,-2.1,71,1016,0,1.616,,,,
2026-02-19T22:20:50Z,70:ee:50:3f:6b:74,44.301497,-72.584812,0,62,1015.1,,,,,,
2026-02-19T22:20:50Z,70:ee:50:71:61:34,44.387109,-72.96381,1,56,1015.6,0,0.101,,,,
2026-02-19T22:20:50Z,70:ee:50:58:9b:e0,44.3588294619666,-72.7167167248179,0.5,55,1015.1,,,,,,
2026-02-19T22:20:50Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,1.3,58,1011.3,,,,,,
2026-02-19T22:20:50Z,70:ee:50:64:fb:60,44.44159,-72.98776,1.6,57,1011.9,0,0.101,,,,
2026-02-19T22:20:50Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,2.3,61,1011.2,,,,,,
2026-02-19T22:20:50Z,70:ee:50:84:5c:52,44.437529,-72.659034,2.9,48,1013.2,0,0,,,,
2026-02-19T22:20:50Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-0.7,65,1015.5,,,4,359,6,359
2026-02-19T22:20:50Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,4,39,1016,,,,,,
2026-02-19T22:20:50Z,70:ee:50:6b:87:0c,44.502233,-72.969099,12.6,38,1024.8,,,,,,
2026-02-19T22:20:50Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,0.3,62,1016.4,0,0,,,,
2026-02-19T22:20:50Z,70:ee:50:13:6c:62,44.595425,-72.835776,2.8,52,1011.4,0,0.7070000000000001,0,-1,1,270
2026-02-19T22:20:50Z,70:ee:50:20:d7:16,44.678234,-72.710889,1.4,54,1013.1,0,0,,,,
2026-02-19T22:20:50Z,70:ee:50:65:14:ce,44.699931,-73.565654,-1.3,67,1016.3,0,0,0,-1,3,90
2026-02-19T22:20:50Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,2.3,65,1012.8,,,,,,
2026-02-19T22:20:50Z,70:ee:50:03:67:38,44.416844,-73.183993,0.6,57,1017.8,,,,,,
2026-02-19T22:20:50Z,70:ee:50:03:9a:38,44.4829,-73.2253,1,61,993.6,0,0,4,27,8,37
2026-02-19T22:20:50Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-0.4,60,1012,,,,,,
