fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-19T20:00:55Z,70:ee:50:b5:10:18,44.708653,-73.020244,6.7,44,1015.3,,,,,,
2026-02-19T20:00:55Z,70:ee:50:84:7f:00,44.83374,-72.59283,20,23,1012.1,,,,,,
2026-02-19T20:00:55Z,70:ee:50:13:6c:30,44.939432,-72.626538,4.7,51,1007.4,,,,,,
2026-02-19T20:00:55Z,70:ee:50:13:84:08,44.974119,-72.651164,4.9,55,1017,,,,,,
2026-02-19T20:00:55Z,70:ee:50:71:3b:a2,45.022137,-72.79827,1.1,63,1013,0,0,2,118,2,124
2026-02-19T20:00:55Z,70:ee:50:12:5b:38,45.032926,-73.027474,0.4,64,1015.6,,,,,,
2026-02-19T20:00:55Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,0.6,66,1014.5,,,,,,
2026-02-19T20:00:55Z,70:ee:50:71:52:d4,44.300539,-72.58766,3.6,46,1015.6,0.404,1.616,,,,
2026-02-19T20:00:55Z,70:ee:50:3f:6b:74,44.301497,-72.584812,3.8,50,1014.6,,,,,,
2026-02-19T20:00:55Z,70:ee:50:71:61:34,44.387109,-72.96381,3.3,52,1015.1,0,0.101,,,,
2026-02-19T20:00:55Z,70:ee:50:58:9b:e0,44.3588294619666,-72.7167167248179,6,40,1014.4,,,,,,
2026-02-19T20:00:55Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,2.5,53,1011.4,,,,,,
2026-02-19T20:00:55Z,70:ee:50:64:fb:60,44.44159,-72.98776,4.1,51,1011.2,0,0,,,,
2026-02-19T20:00:55Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,3.9,46,1010.5,,,,,,
2026-02-19T20:00:55Z,70:ee:50:84:5c:52,44.437529,-72.659034,4.1,40,1012.5,0,0,,,,
2026-02-19T20:00:55Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,2,52,1015.3,,,1,90,3,90
2026-02-19T20:00:55Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,8.4,29,1015.3,,,,,,
2026-02-19T20:00:55Z,70:ee:50:6b:87:0c,44.502233,-72.969099,25.7,28,1024.4,,,,,,
2026-02-19T20:00:55Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,4.4,46,1015.6,0,0,,,,
2026-02-19T20:00:55Z,70:ee:50:13:6c:62,44.595425,-72.835776,5.2,47,1010.5,0.30300000000000005,0.6060000000000001,1,-1,3,40
2026-02-19T20:00:55Z,70:ee:50:20:d7:16,44.678234,-72.710889,3,52,1012.4,0,0,,,,
2026-02-19T20:00:55Z,70:ee:50:65:14:ce,44.699931,-73.565654,1.9,55,1015.9,0,0,4,105,9,73
2026-02-19T20:00:55Z,70:ee:50:71:41:0e,44.699477,-73.381887,-0.5,65,1016.2,,,,,,
2026-02-19T20:00:55Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,3.2,70,1012.5,,,,,,
2026-02-19T20:00:55Z,70:ee:50:03:67:38,44.416844,-73.183993,3.3,50,1017.4,,,,,,
2026-02-19T20:00:55Z,70:ee:50:03:9a:38,44.4829,-73.2253,3.2,55,993,0,0,4,32,13,39
2026-02-19T20:00:55Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,3.4,53,1012,,,,,,
