fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-19T07:00:41Z,70:ee:50:b5:10:18,44.708653,-73.020244,-8.2,65,1014.6,,,,,,
2026-02-19T07:00:41Z,70:ee:50:84:7f:00,44.83374,-72.59283,-7.8,67,1010.7,,,,,,
2026-02-19T07:00:41Z,70:ee:50:13:6c:30,44.939432,-72.626538,-9.7,80,1007.2,,,,,,
2026-02-19T07:00:41Z,70:ee:50:13:84:08,44.974119,-72.651164,-10.2,83,1016.3,,,,,,
2026-02-19T07:00:41Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-6.6,76,1011.9,0,0,1,126,3,159
2026-02-19T07:00:41Z,70:ee:50:12:5b:38,45.032926,-73.027474,-7.6,70,1014.9,,,,,,
2026-02-19T07:00:41Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-1.9,62,1013.5,,,,,,
2026-02-19T07:00:41Z,70:ee:50:71:52:d4,44.300539,-72.58766,-9.5,81,1015.5,0.101,0.101,,,,
2026-02-19T07:00:41Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-8.4,75,1014.5,,,,,,
2026-02-19T07:00:41Z,70:ee:50:71:61:34,44.387109,-72.96381,-7,76,1014.6,0,0,,,,
2026-02-19T07:00:41Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-9,79,1011.6,,,,,,
2026-02-19T07:00:41Z,70:ee:50:64:fb:60,44.44159,-72.98776,-8.7,82,1010.6,0,0,,,,
2026-02-19T07:00:41Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-9.1,82,1010.8,,,,,,
2026-02-19T07:00:41Z,70:ee:50:84:5c:52,44.437529,-72.659034,-6.9,68,1011.4,0,0,,,,
2026-02-19T07:00:41Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-10.6,82,1014.7,,,3,359,6,359
2026-02-19T07:00:41Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-6.5,61,1014.9,,,,,,
2026-02-19T07:00:41Z,70:ee:50:6b:87:0c,44.502233,-72.969099,-2,52,1023.7,,,,,,
2026-02-19T07:00:41Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-11.2,74,1015.7,0,0,,,,
2026-02-19T07:00:41Z,70:ee:50:13:6c:62,44.595425,-72.835776,-8.7,80,1009.5,0,0,2,140,3,131
2026-02-19T07:00:41Z,70:ee:50:20:d7:16,44.678234,-72.710889,-9.8,74,1011.3,0,0,,,,
2026-02-19T07:00:41Z,70:ee:50:65:14:ce,44.699931,-73.565654,-9.4,90,1015.1,0,0,0,-1,1,359
2026-02-19T07:00:41Z,70:ee:50:71:41:0e,44.699477,-73.381887,-7.6,74,1015.3,,,,,,
2026-02-19T07:00:41Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-7.1,79,1011.9,,,,,,
2026-02-19T07:00:41Z,70:ee:50:03:67:38,44.416844,-73.183993,-6.5,67,1017.2,,,,,,
2026-02-19T07:00:41Z,70:ee:50:03:9a:38,44.4829,-73.2253,-10.6,76,993.2,0,0,4,359,10,359
2026-02-19T07:00:41Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-7.2,73,1011.5,,,,,,
