fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-18T18:41:07Z,70:ee:50:b5:10:18,44.708653,-73.020244,3.7,48,1011,,,,,,
2026-02-18T18:41:07Z,70:ee:50:84:7f:00,44.83374,-72.59283,2.9,40,1007.1,,,,,,
2026-02-18T18:41:07Z,70:ee:50:13:6c:30,44.939432,-72.626538,-0.3,54,1004.6,,,,,,
2026-02-18T18:41:07Z,70:ee:50:13:84:08,44.974119,-72.651164,5.8,53,1011.9,,,,,,
2026-02-18T18:41:07Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-2.4,67,1008.3,0,0,1,-1,3,153
2026-02-18T18:41:07Z,70:ee:50:12:5b:38,45.032926,-73.027474,-0.7,62,1011.1,,,,,,
2026-02-18T18:41:07Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,0.5,65,1009.9,,,,,,
2026-02-18T18:41:07Z,70:ee:50:71:52:d4,44.300539,-72.58766,2.4,47,1010.2,0,0.101,,,,
2026-02-18T18:41:07Z,70:ee:50:3f:6b:74,44.301497,-72.584812,1.7,50,1009.3,,,,,,
2026-02-18T18:41:07Z,70:ee:50:71:61:34,44.387109,-72.96381,1,51,1010.6,0,0.101,,,,
2026-02-18T18:41:07Z,70:ee:50:58:9b:e0,44.3588294619666,-72.7167167248179,1.5,46,1009.6,,,,,,
2026-02-18T18:41:07Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,1.1,47,1006.3,,,,,,
2026-02-18T18:41:07Z,70:ee:50:64:fb:60,44.44159,-72.98776,1.3,51,1006.6,0,0,,,,
2026-02-18T18:41:07Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,1.5,52,1005.9,,,,,,
2026-02-18T18:41:07Z,70:ee:50:84:5c:52,44.437529,-72.659034,0.5,44,1007.1,0,0,,,,
2026-02-18T18:41:07Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,1.9,45,1010.8,,,2,-1,5,38
2026-02-18T18:41:07Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,3,31,1010.2,,,,,,
2026-02-18T18:41:07Z,70:ee:50:6b:87:0c,44.502233,-72.969099,21.7,31,1020,,,,,,
2026-02-18T18:41:07Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,1.5,48,1010.8,0,0,,,,
2026-02-18T18:41:07Z,70:ee:50:13:6c:62,44.595425,-72.835776,-0.4,58,1006,0,0.30300000000000005,1,135,3,155
2026-02-18T18:41:07Z,70:ee:50:20:d7:16,44.678234,-72.710889,-0.1,49,1007.3,0,0,,,,
2026-02-18T18:41:07Z,70:ee:50:65:14:ce,44.699931,-73.565654,-0.2,59,1011.7,0,0,3,63,9,57
2026-02-18T18:41:07Z,70:ee:50:71:41:0e,44.699477,-73.381887,0,61,1012,,,,,,
2026-02-18T18:41:07Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-0.7,71,1008.1,,,,,,
2026-02-18T18:41:07Z,70:ee:50:03:67:38,44.416844,-73.183993,0.3,52,1013.1,,,,,,
2026-02-18T18:41:07Z,70:ee:50:03:9a:38,44.4829,-73.2253,1.1,58,988.2,0,0,6,359,11,359
2026-02-18T18:41:07Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,1.6,53,1007.9,,,,,,
