fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-18T15:21:06Z,70:ee:50:b5:10:18,44.708653,-73.020244,2.8,57,1013.6,,,,,,
2026-02-18T15:21:06Z,70:ee:50:84:7f:00,44.83374,-72.59283,-1.1,55,1009.8,,,,,,
2026-02-18T15:21:06Z,70:ee:50:13:6c:30,44.939432,-72.626538,-2.9,68,1007.8,,,,,,
2026-02-18T15:21:06Z,70:ee:50:13:84:08,44.974119,-72.651164,1.4,68,1015.2,,,,,,
2026-02-18T15:21:06Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-4.6,68,1011.3,0,0,1,-1,3,169
2026-02-18T15:21:06Z,70:ee:50:12:5b:38,45.032926,-73.027474,-1.4,64,1014.1,,,,,,
2026-02-18T15:21:06Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,0.2,67,1012.8,,,,,,
2026-02-18T15:21:06Z,70:ee:50:71:52:d4,44.300539,-72.58766,1.8,66,1012.8,0,0,,,,
2026-02-18T15:21:06Z,70:ee:50:3f:6b:74,44.301497,-72.584812,1.2,63,1011.6,,,,,,
2026-02-18T15:21:06Z,70:ee:50:71:61:34,44.387109,-72.96381,-0.7,73,1013.1,0,0.101,,,,
2026-02-18T15:21:06Z,70:ee:50:58:9b:e0,44.3588294619666,-72.7167167248179,1.9,66,1012.2,,,,,,
2026-02-18T15:21:06Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-0.3,70,1009.2,,,,,,
2026-02-18T15:21:06Z,70:ee:50:64:fb:60,44.44159,-72.98776,-0.1,74,1009.4,0,0,,,,
2026-02-18T15:21:06Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-0.6,69,1008.5,,,,,,
2026-02-18T15:21:06Z,70:ee:50:84:5c:52,44.437529,-72.659034,-0.9,65,1009.8,0,0,,,,
2026-02-18T15:21:06Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,0.5,69,1013.6,,,4,-1,7,359
2026-02-18T15:21:06Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,1.2,47,1012.9,,,,,,
2026-02-18T15:21:06Z,70:ee:50:6b:87:0c,44.502233,-72.969099,8.2,49,1022.4,,,,,,
2026-02-18T15:21:06Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,8.6,47,1013.7,0,0,,,,
2026-02-18T15:21:06Z,70:ee:50:13:6c:62,44.595425,-72.835776,-2.6,78,1008.8,0,0.30300000000000005,2,36,4,41
2026-02-18T15:21:06Z,70:ee:50:20:d7:16,44.678234,-72.710889,-2.8,63,1010.1,0,0,,,,
2026-02-18T15:21:06Z,70:ee:50:65:14:ce,44.699931,-73.565654,0.7,70,1013.7,0,0,1,45,10,47
2026-02-18T15:21:06Z,70:ee:50:71:41:0e,44.699477,-73.381887,1.8,66,1014.6,,,,,,
2026-02-18T15:21:06Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-1.2,87,1010.2,,,,,,
2026-02-18T15:21:06Z,70:ee:50:03:67:38,44.416844,-73.183993,-0.4,71,1015.4,,,,,,
2026-02-18T15:21:06Z,70:ee:50:03:9a:38,44.4829,-73.2253,-0.9,72,990.8,0,0,6,359,15,359
2026-02-18T15:21:06Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,4.3,52,1009.9,,,,,,
