fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-18T09:40:54Z,70:ee:50:b5:10:18,44.708653,-73.020244,-0.6,78,1012.7,,,,,,
2026-02-18T09:40:54Z,70:ee:50:84:7f:00,44.83374,-72.59283,0.8,79,1009.2,,,,,,
2026-02-18T09:40:54Z,70:ee:50:13:6c:30,44.939432,-72.626538,-1,94,1005.8,,,,,,
2026-02-18T09:40:54Z,70:ee:50:13:84:08,44.974119,-72.651164,-0.4,95,1014.1,,,,,,
2026-02-18T09:40:54Z,70:ee:50:71:3b:a2,45.022137,-72.79827,0,95,1010,0,0,1,-1,3,-1
2026-02-18T09:40:54Z,70:ee:50:12:5b:38,45.032926,-73.027474,0.8,87,1012.4,,,,,,
2026-02-18T09:40:54Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,1.4,73,1011.7,,,,,,
2026-02-18T09:40:54Z,70:ee:50:71:52:d4,44.300539,-72.58766,-0.5,91,1012.8,0,0,,,,
2026-02-18T09:40:54Z,70:ee:50:3f:6b:74,44.301497,-72.584812,0.4,80,1011.8,,,,,,
2026-02-18T09:40:54Z,70:ee:50:71:61:34,44.387109,-72.96381,0.8,92,1012.9,0,0,,,,
2026-02-18T09:40:54Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,0.6,81,1009.3,,,,,,
2026-02-18T09:40:54Z,70:ee:50:64:fb:60,44.44159,-72.98776,-0.5,95,1009,0,0,,,,
2026-02-18T09:40:54Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,0.5,89,1008.2,,,,,,
2026-02-18T09:40:54Z,70:ee:50:84:5c:52,44.437529,-72.659034,1.1,77,1009.7,0,0,,,,
2026-02-18T09:40:54Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-3.6,92,1012.7,,,4,359,6,359
2026-02-18T09:40:54Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,0.7,75,1012.5,,,,,,
2026-02-18T09:40:54Z,70:ee:50:6b:87:0c,44.502233,-72.969099,3.1,51,1021.9,,,,,,
2026-02-18T09:40:54Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,0.5,79,1012.9,0,0,,,,
2026-02-18T09:40:54Z,70:ee:50:13:6c:62,44.595425,-72.835776,-0.6,93,1008.4,0,0.30300000000000005,2,151,4,140
2026-02-18T09:40:54Z,70:ee:50:20:d7:16,44.678234,-72.710889,-0.9,82,1009.3,0,0,,,,
2026-02-18T09:40:54Z,70:ee:50:65:14:ce,44.699931,-73.565654,-3,100,1013.4,0,0,1,270,4,270
2026-02-18T09:40:54Z,70:ee:50:71:41:0e,44.699477,-73.381887,-0.7,90,1013,,,,,,
2026-02-18T09:40:54Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,0.6,97,1010,,,,,,
2026-02-18T09:40:54Z,70:ee:50:03:67:38,44.416844,-73.183993,0.7,82,1015.2,,,,,,
2026-02-18T09:40:54Z,70:ee:50:03:9a:38,44.4829,-73.2253,0.1,85,990.7,0,0,5,12,10,47
2026-02-18T09:40:54Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-1.2,91,1009.2,,,,,,
