fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-21T15:40:43Z,70:ee:50:b5:10:18,44.708653,-73.020244,-6.1,75,1012.6,,,,,,
2026-02-21T15:40:43Z,70:ee:50:84:7f:00,44.83374,-72.59283,-0.2,75,1008.4,,,,,,
2026-02-21T15:40:43Z,70:ee:50:13:6c:30,44.939432,-72.626538,-2.4,83,1005,,,,,,
2026-02-21T15:40:43Z,70:ee:50:13:84:08,44.974119,-72.651164,-3.8,86,1014.3,,,,,,
2026-02-21T15:40:43Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-3.2,85,1010.1,0,0,2,70,6,52
2026-02-21T15:40:43Z,70:ee:50:12:5b:38,45.032926,-73.027474,-3.9,73,1013,,,,,,
2026-02-21T15:40:43Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-0.2,67,1011.6,,,,,,
2026-02-21T15:40:43Z,70:ee:50:71:52:d4,44.300539,-72.58766,2,85,1011.8,0.101,0.101,,,,
2026-02-21T15:40:43Z,70:ee:50:3f:6b:74,44.301497,-72.584812,1,81,1010.9,,,,,,
2026-02-21T15:40:43Z,70:ee:50:71:61:34,44.387109,-72.96381,-5.4,91,1012.7,0,0,,,,
2026-02-21T15:40:43Z,70:ee:50:58:9b:e0,44.3588294619666,-72.7167167248179,-2,90,1011.1,,,,,,
2026-02-21T15:40:43Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-0.6,86,1007.4,,,,,,
2026-02-21T15:40:43Z,70:ee:50:64:fb:60,44.44159,-72.98776,-5.1,91,1009,0,0,,,,
2026-02-21T15:40:43Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-1.4,94,1007.4,,,,,,
2026-02-21T15:40:43Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-5,91,1013.3,,,3,359,5,359
2026-02-21T15:40:43Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-0.7,77,1011.9,,,,,,
2026-02-21T15:40:43Z,70:ee:50:6b:87:0c,44.502233,-72.969099,2.6,53,1022.4,,,,,,
2026-02-21T15:40:43Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-1.6,83,1012.6,0,0,,,,
2026-02-21T15:40:43Z,70:ee:50:13:6c:62,44.595425,-72.835776,-4.7,92,1007.5,0,0,1,90,2,90
2026-02-21T15:40:43Z,70:ee:50:20:d7:16,44.678234,-72.710889,-2.1,78,1008.9,0,0,,,,
2026-02-21T15:40:43Z,70:ee:50:65:14:ce,44.699931,-73.565654,-6.8,95,1014.1,0,0.101,1,135,5,60
2026-02-21T15:40:43Z,70:ee:50:71:41:0e,44.699477,-73.381887,-6.4,85,1014.3,,,,,,
2026-02-21T15:40:43Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-7,94,1010.5,,,,,,
2026-02-21T15:40:43Z,70:ee:50:03:67:38,44.416844,-73.183993,-6.3,80,1015.4,,,,,,
2026-02-21T15:40:43Z,70:ee:50:03:9a:38,44.4829,-73.2253,-0.5,84,990.5,0,0,5,45,13,123
2026-02-21T15:40:43Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-3.8,79,1009.9,,,,,,
