fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T10:20:19Z,70:ee:50:b5:10:18,44.708653,-73.020244,-7.4,66,1012.1,,,,,,
2026-02-20T10:20:19Z,70:ee:50:84:7f:00,44.83374,-72.59283,-2.7,58,1009.3,,,,,,
2026-02-20T10:20:19Z,70:ee:50:13:6c:30,44.939432,-72.626538,-5.3,72,1007.4,,,,,,
2026-02-20T10:20:19Z,70:ee:50:13:84:08,44.974119,-72.651164,-10.1,88,1015,,,,,,
2026-02-20T10:20:19Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-3.6,68,1009.8,0,0,3,67,7,61
2026-02-20T10:20:19Z,70:ee:50:12:5b:38,45.032926,-73.027474,-8.5,74,1012.2,,,,,,
2026-02-20T10:20:19Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-1.1,63,1011.2,,,,,,
2026-02-20T10:20:19Z,70:ee:50:71:52:d4,44.300539,-72.58766,-6,79,1013.9,0,0,,,,
2026-02-20T10:20:19Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-6.6,75,1012.5,,,,,,
2026-02-20T10:20:19Z,70:ee:50:71:61:34,44.387109,-72.96381,-2.8,71,1011.9,0,0,,,,
2026-02-20T10:20:19Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-6.1,82,1009.2,,,,,,
2026-02-20T10:20:19Z,70:ee:50:64:fb:60,44.44159,-72.98776,-4.6,84,1007.6,0,0,,,,
2026-02-20T10:20:19Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-8.7,90,1009,,,,,,
2026-02-20T10:20:19Z,70:ee:50:84:5c:52,44.437529,-72.659034,-3,70,1009.9,0,0,,,,
2026-02-20T10:20:19Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-3.5,80,1011.4,,,5,7,7,16
2026-02-20T10:20:19Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-6,64,1013.4,,,,,,
2026-02-20T10:20:19Z,70:ee:50:6b:87:0c,44.502233,-72.969099,1.2,46,1020.6,,,,,,
2026-02-20T10:20:19Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-12.8,80,1014.2,0,0,,,,
2026-02-20T10:20:19Z,70:ee:50:13:6c:62,44.595425,-72.835776,-4.5,79,1007.8,0,0,2,156,3,154
2026-02-20T10:20:19Z,70:ee:50:20:d7:16,44.678234,-72.710889,-7.5,71,1009.6,0,0,,,,
2026-02-20T10:20:19Z,70:ee:50:65:14:ce,44.699931,-73.565654,-8.3,88,1012.1,0,0,1,-1,3,359
2026-02-20T10:20:19Z,70:ee:50:71:41:0e,44.699477,-73.381887,-9.8,86,1012.2,,,,,,
2026-02-20T10:20:19Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-2,76,1008.4,,,,,,
2026-02-20T10:20:19Z,70:ee:50:03:67:38,44.416844,-73.183993,-3.2,73,1013.8,,,,,,
2026-02-20T10:20:19Z,70:ee:50:03:9a:38,44.4829,-73.2253,-10.9,80,991.7,0,0,3,359,9,359
2026-02-20T10:20:19Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-4.4,81,1008.2,,,,,,
