fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T09:00:12Z,70:ee:50:b5:10:18,44.708653,-73.020244,-6.7,66,1013,,,,,,
2026-02-20T09:00:12Z,70:ee:50:84:7f:00,44.83374,-72.59283,-3.1,58,1010.1,,,,,,
2026-02-20T09:00:12Z,70:ee:50:13:6c:30,44.939432,-72.626538,-4.8,70,1008.3,,,,,,
2026-02-20T09:00:12Z,70:ee:50:13:84:08,44.974119,-72.651164,-9.9,87,1015.8,,,,,,
2026-02-20T09:00:12Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-3.6,68,1010.6,0,0,3,72,5,64
2026-02-20T09:00:12Z,70:ee:50:12:5b:38,45.032926,-73.027474,-8.4,73,1013.1,,,,,,
2026-02-20T09:00:12Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-0.9,63,1012.1,,,,,,
2026-02-20T09:00:12Z,70:ee:50:71:52:d4,44.300539,-72.58766,-6.2,80,1015.1,0,0,,,,
2026-02-20T09:00:12Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-6.8,76,1013.9,,,,,,
2026-02-20T09:00:12Z,70:ee:50:71:61:34,44.387109,-72.96381,-3.1,72,1013.2,0,0,,,,
2026-02-20T09:00:12Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-7.5,85,1010.7,,,,,,
2026-02-20T09:00:12Z,70:ee:50:64:fb:60,44.44159,-72.98776,-5.7,85,1009,0,0,,,,
2026-02-20T09:00:12Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-9.5,89,1009.8,,,,,,
2026-02-20T09:00:12Z,70:ee:50:84:5c:52,44.437529,-72.659034,-3.7,69,1010.9,0,0,,,,
2026-02-20T09:00:12Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-5.4,85,1012.8,,,3,359,5,-1
2026-02-20T09:00:12Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-6.2,65,1014.3,,,,,,
2026-02-20T09:00:12Z,70:ee:50:6b:87:0c,44.502233,-72.969099,0.7,47,1021.8,,,,,,
2026-02-20T09:00:12Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-13.4,79,1015.1,0,0,,,,
2026-02-20T09:00:12Z,70:ee:50:13:6c:62,44.595425,-72.835776,-3.6,79,1008.6,0,0,1,131,3,152
2026-02-20T09:00:12Z,70:ee:50:20:d7:16,44.678234,-72.710889,-7.2,71,1010.7,0,0,,,,
2026-02-20T09:00:12Z,70:ee:50:65:14:ce,44.699931,-73.565654,-7.3,86,1012.8,0,0,1,225,5,242
2026-02-20T09:00:12Z,70:ee:50:71:41:0e,44.699477,-73.381887,-9.2,86,1012.9,,,,,,
2026-02-20T09:00:12Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-2.3,76,1009.7,,,,,,
2026-02-20T09:00:12Z,70:ee:50:03:67:38,44.416844,-73.183993,-4,72,1015,,,,,,
2026-02-20T09:00:12Z,70:ee:50:03:9a:38,44.4829,-73.2253,-10.3,80,992.5,0,0,4,359,10,32
2026-02-20T09:00:12Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-6,83,1009.3,,,,,,
