fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T11:20:13Z,70:ee:50:b5:10:18,44.708653,-73.020244,-8,67,1011.7,,,,,,
2026-02-20T11:20:13Z,70:ee:50:84:7f:00,44.83374,-72.59283,-2.9,60,1008.5,,,,,,
2026-02-20T11:20:13Z,70:ee:50:13:6c:30,44.939432,-72.626538,-5.2,74,1006.5,,,,,,
2026-02-20T11:20:13Z,70:ee:50:13:84:08,44.974119,-72.651164,-10.2,88,1014.1,,,,,,
2026-02-20T11:20:13Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-4.2,67,1009.2,0,0,3,68,8,55
2026-02-20T11:20:13Z,70:ee:50:12:5b:38,45.032926,-73.027474,-8.7,74,1011.6,,,,,,
2026-02-20T11:20:13Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-1.3,63,1010.7,,,,,,
2026-02-20T11:20:13Z,70:ee:50:71:52:d4,44.300539,-72.58766,-5.9,79,1013.6,0,0,,,,
2026-02-20T11:20:13Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-6.4,76,1012.5,,,,,,
2026-02-20T11:20:13Z,70:ee:50:71:61:34,44.387109,-72.96381,-2.5,71,1012,0,0,,,,
2026-02-20T11:20:13Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-6.7,81,1009,,,,,,
2026-02-20T11:20:13Z,70:ee:50:64:fb:60,44.44159,-72.98776,-4,85,1008,0,0,,,,
2026-02-20T11:20:13Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-8.7,89,1008.4,,,,,,
2026-02-20T11:20:13Z,70:ee:50:84:5c:52,44.437529,-72.659034,-3.2,68,1009.6,0,0,,,,
2026-02-20T11:20:13Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-3.2,75,1011.5,,,4,-1,6,-1
2026-02-20T11:20:13Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-6,65,1012.8,,,,,,
2026-02-20T11:20:13Z,70:ee:50:6b:87:0c,44.502233,-72.969099,1.5,46,1020.7,,,,,,
2026-02-20T11:20:13Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-13.1,79,1013.6,0,0,,,,
2026-02-20T11:20:13Z,70:ee:50:13:6c:62,44.595425,-72.835776,-5.5,80,1007.1,0,0,1,236,2,165
2026-02-20T11:20:13Z,70:ee:50:20:d7:16,44.678234,-72.710889,-7.6,72,1008.9,0,0,,,,
2026-02-20T11:20:13Z,70:ee:50:65:14:ce,44.699931,-73.565654,-8.1,91,1011.9,0,0,1,55,4,63
2026-02-20T11:20:13Z,70:ee:50:71:41:0e,44.699477,-73.381887,-10.1,87,1012,,,,,,
2026-02-20T11:20:13Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-2,77,1008.6,,,,,,
2026-02-20T11:20:13Z,70:ee:50:03:67:38,44.416844,-73.183993,-2.8,73,1013.9,,,,,,
2026-02-20T11:20:13Z,70:ee:50:03:9a:38,44.4829,-73.2253,-11.4,80,990.9,0,0,4,-1,8,23
2026-02-20T11:20:13Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-4.2,80,1008.1,,,,,,
