fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T16:21:08Z,70:ee:50:b5:10:18,44.708653,-73.020244,0.5,60,1009.6,,,,,,
2026-02-20T16:21:08Z,70:ee:50:84:7f:00,44.83374,-72.59283,3.7,45,1007.2,,,,,,
2026-02-20T16:21:08Z,70:ee:50:13:6c:30,44.939432,-72.626538,2.3,62,1003.7,,,,,,
2026-02-20T16:21:08Z,70:ee:50:13:84:08,44.974119,-72.651164,-2,76,1012.4,,,,,,
2026-02-20T16:21:08Z,70:ee:50:71:3b:a2,45.022137,-72.79827,1.7,61,1007.6,0,0,3,77,7,73
2026-02-20T16:21:08Z,70:ee:50:12:5b:38,45.032926,-73.027474,-3.6,72,1009.9,,,,,,
2026-02-20T16:21:08Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-0.4,66,1009.1,,,,,,
2026-02-20T16:21:08Z,70:ee:50:71:52:d4,44.300539,-72.58766,2.5,60,1011.5,0,0,,,,
2026-02-20T16:21:08Z,70:ee:50:3f:6b:74,44.301497,-72.584812,0.9,68,1010.3,,,,,,
2026-02-20T16:21:08Z,70:ee:50:71:61:34,44.387109,-72.96381,2.3,62,1009.7,0,0,,,,
2026-02-20T16:21:08Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,1.3,70,1007,,,,,,
2026-02-20T16:21:08Z,70:ee:50:64:fb:60,44.44159,-72.98776,3.7,65,1005.4,0,0,,,,
2026-02-20T16:21:08Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-1.9,75,1006.4,,,,,,
2026-02-20T16:21:08Z,70:ee:50:84:5c:52,44.437529,-72.659034,0.8,58,1007.6,0,0,,,,
2026-02-20T16:21:08Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,4.2,58,1009.4,,,2,72,3,63
2026-02-20T16:21:08Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-1.4,57,1010.9,,,,,,
2026-02-20T16:21:08Z,70:ee:50:6b:87:0c,44.502233,-72.969099,6.6,43,1018.6,,,,,,
2026-02-20T16:21:08Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-1.9,69,1011.5,0,0,,,,
2026-02-20T16:21:08Z,70:ee:50:13:6c:62,44.595425,-72.835776,1.3,71,1005.3,0.101,0.101,1,359,2,113
2026-02-20T16:21:08Z,70:ee:50:65:14:ce,44.699931,-73.565654,0.3,69,1009.7,0,0,1,90,3,54
2026-02-20T16:21:08Z,70:ee:50:71:41:0e,44.699477,-73.381887,-3.7,77,1010,,,,,,
2026-02-20T16:21:08Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-0.9,79,1006.3,,,,,,
2026-02-20T16:21:08Z,70:ee:50:03:67:38,44.416844,-73.183993,0.5,70,1011.5,,,,,,
2026-02-20T16:21:08Z,70:ee:50:03:9a:38,44.4829,-73.2253,1.1,68,988.6,0,0,4,78,10,94
2026-02-20T16:21:08Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-0.8,70,1005.8,,,,,,
