fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T18:41:14Z,70:ee:50:b5:10:18,44.708653,-73.020244,2.5,54,1006.3,,,,,,
2026-02-20T18:41:14Z,70:ee:50:84:7f:00,44.83374,-72.59283,4.2,43,1003.9,,,,,,
2026-02-20T18:41:14Z,70:ee:50:13:6c:30,44.939432,-72.626538,2.5,61,1000,,,,,,
2026-02-20T18:41:14Z,70:ee:50:13:84:08,44.974119,-72.651164,1,67,1009.1,,,,,,
2026-02-20T18:41:14Z,70:ee:50:71:3b:a2,45.022137,-72.79827,2.3,59,1004.3,0,0,3,90,7,69
2026-02-20T18:41:14Z,70:ee:50:12:5b:38,45.032926,-73.027474,-2,72,1006.6,,,,,,
2026-02-20T18:41:14Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,0.6,66,1006,,,,,,
2026-02-20T18:41:14Z,70:ee:50:71:52:d4,44.300539,-72.58766,5.2,53,1008.3,0.101,0.101,,,,
2026-02-20T18:41:14Z,70:ee:50:3f:6b:74,44.301497,-72.584812,3.8,56,1006.9,,,,,,
2026-02-20T18:41:14Z,70:ee:50:71:61:34,44.387109,-72.96381,3,57,1006.3,0,0,,,,
2026-02-20T18:41:14Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,3.9,58,1003.4,,,,,,
2026-02-20T18:41:14Z,70:ee:50:64:fb:60,44.44159,-72.98776,3.6,61,1002.4,0,0,,,,
2026-02-20T18:41:14Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,1.7,70,1003.4,,,,,,
2026-02-20T18:41:14Z,70:ee:50:84:5c:52,44.437529,-72.659034,2.3,50,1004.8,0,0,,,,
2026-02-20T18:41:14Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,5.1,54,1006.2,,,2,90,4,90
2026-02-20T18:41:14Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,2,46,1007.5,,,,,,
2026-02-20T18:41:14Z,70:ee:50:6b:87:0c,44.502233,-72.969099,8,43,1015.4,,,,,,
2026-02-20T18:41:14Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,2,63,1008.2,0,0,,,,
2026-02-20T18:41:14Z,70:ee:50:13:6c:62,44.595425,-72.835776,2.4,65,1001.9,0,0.101,1,-1,2,210
2026-02-20T18:41:14Z,70:ee:50:20:d7:16,44.678234,-72.710889,2.5,59,1004.3,,,,,,
2026-02-20T18:41:14Z,70:ee:50:65:14:ce,44.699931,-73.565654,1.1,68,1006.6,0,0,3,79,5,48
2026-02-20T18:41:14Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,0.1,77,1003.4,,,,,,
2026-02-20T18:41:14Z,70:ee:50:03:67:38,44.416844,-73.183993,2.3,67,1008.4,,,,,,
2026-02-20T18:41:14Z,70:ee:50:03:9a:38,44.4829,-73.2253,2.7,64,985.2,0,0,4,56,9,50
2026-02-20T18:41:14Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,0.9,67,1002.8,,,,,,
